Date,City,Customer type,Gender,Product line,Quantity,Tax 5%,Total,Payment,gross margin percentage,gross income,Rating,Hours,month,Days
2019-03-02,Yangon,Member,Male,Sports and travel,3,13.29,279.18,Ewallet,4.76,13.29,6.0,15-18 PM,March,week1
2019-03-22,Yangon,Member,Female,Home and lifestyle,8,21.04,441.76,Credit card,4.76,21.04,8.5,18-21 PM,March,week4
2019-02-08,Mandalay,Normal,Male,Fashion accessories,1,1.68,35.2,Cash,4.76,1.68,6.7,15-18 PM,February,week2
2019-03-10,Yangon,Normal,Female,Fashion accessories,2,8.77,184.11,Credit card,4.76,8.77,7.7,9-12 AM,March,week2
2019-01-25,Mandalay,Normal,Female,Food and beverages,5,22.09,463.89,Cash,4.76,22.09,9.6,18-21 PM,January,week4
2019-03-15,Yangon,Normal,Male,Health and beauty,9,11.2,235.21,Cash,4.76,11.2,7.4,15-18 PM,March,week3
2019-02-25,Mandalay,Normal,Male,Fashion accessories,5,23.53,494.18,Credit card,4.76,23.53,4.8,18-21 PM,February,week4
2019-01-28,Mandalay,Member,Male,Sports and travel,9,35.13,737.76,Cash,4.76,35.13,4.5,12-15 PM,January,week4
2019-01-10,Mandalay,Normal,Male,Sports and travel,8,33.51,703.75,Cash,4.76,33.51,5.1,12-15 PM,January,week2
2019-03-15,Yangon,Normal,Male,Health and beauty,2,9.66,202.82,Credit card,4.76,9.66,5.1,9-12 AM,March,week3
2019-02-06,Naypyitaw,Member,Female,Food and beverages,4,19.88,417.56,Ewallet,4.76,19.88,7.5,9-12 AM,February,week1
2019-01-07,Naypyitaw,Member,Female,Sports and travel,1,3.41,71.53,Ewallet,4.76,3.41,6.8,9-12 AM,January,week1
2019-03-10,Yangon,Member,Male,Sports and travel,5,15.66,328.76,Ewallet,4.76,15.66,7.0,18-21 PM,March,week2
2019-01-15,Yangon,Normal,Female,Electronic accessories,9,27.4,575.32,Ewallet,4.76,27.4,4.7,15-18 PM,January,week3
2019-03-23,Naypyitaw,Normal,Female,Health and beauty,8,21.97,461.33,Ewallet,4.76,21.97,7.6,12-15 PM,March,week4
2019-03-03,Mandalay,Member,Male,Home and lifestyle,8,12.05,253.01,Cash,4.76,12.05,7.7,12-15 PM,March,week1
2019-01-17,Mandalay,Member,Female,Home and lifestyle,1,4.34,91.06,Ewallet,4.76,4.34,7.9,18-21 PM,January,week3
2019-02-02,Naypyitaw,Member,Male,Home and lifestyle,2,5.61,117.83,Cash,4.76,5.61,6.3,9-12 AM,February,week1
2019-02-08,Mandalay,Member,Female,Sports and travel,6,20.74,435.46,Cash,4.76,20.74,5.6,12-15 PM,February,week2
2019-03-04,Naypyitaw,Member,Female,Food and beverages,8,39.48,829.08,Cash,4.76,39.48,7.6,18-21 PM,March,week1
2019-03-16,Naypyitaw,Member,Male,Health and beauty,2,1.54,32.28,Cash,4.76,1.54,7.2,18-21 PM,March,week3
2019-03-09,Mandalay,Member,Female,Electronic accessories,4,18.79,394.63,Cash,4.76,18.79,9.5,15-18 PM,March,week2
2019-02-27,Mandalay,Member,Male,Health and beauty,9,25.51,535.72,Credit card,4.76,25.51,8.4,15-18 PM,February,week4
2019-02-06,Mandalay,Member,Female,Food and beverages,9,9.0,189.09,Ewallet,4.76,9.0,4.1,15-18 PM,February,week1
2019-02-10,Mandalay,Member,Male,Electronic accessories,6,5.68,119.26,Credit card,4.76,5.68,8.1,12-15 PM,February,week2
2019-03-19,Naypyitaw,Member,Female,Fashion accessories,10,41.32,867.62,Ewallet,4.76,41.32,7.9,15-18 PM,March,week3
2019-02-03,Naypyitaw,Member,Male,Food and beverages,7,31.99,671.79,Cash,4.76,31.99,9.5,9-12 AM,February,week1
2019-02-10,Yangon,Member,Female,Food and beverages,5,11.15,234.1,Cash,4.76,11.15,8.5,12-15 PM,February,week2
2019-03-22,Mandalay,Member,Female,Fashion accessories,4,3.57,75.05,Ewallet,4.76,3.57,6.5,12-15 PM,March,week4
2019-01-25,Naypyitaw,Member,Male,Fashion accessories,1,0.77,16.2,Credit card,4.76,0.77,6.1,15-18 PM,January,week4
2019-03-07,Mandalay,Normal,Male,Home and lifestyle,2,1.62,33.94,Ewallet,4.76,1.62,6.5,9-12 AM,March,week1
2019-02-28,Naypyitaw,Normal,Female,Electronic accessories,8,34.39,722.23,Cash,4.76,34.39,8.2,18-21 PM,February,week4
2019-03-27,Yangon,Member,Male,Home and lifestyle,2,4.43,93.11,Cash,4.76,4.43,5.8,9-12 AM,March,week4
2019-02-07,Yangon,Normal,Male,Health and beauty,8,35.84,752.64,Ewallet,4.76,35.84,6.6,9-12 AM,February,week1
2019-01-20,Yangon,Member,Female,Home and lifestyle,10,36.17,759.68,Cash,4.76,36.17,5.4,15-18 PM,January,week3
2019-03-12,Naypyitaw,Normal,Male,Electronic accessories,6,9.18,192.84,Cash,4.76,9.18,9.3,18-21 PM,March,week2
2019-02-15,Naypyitaw,Member,Female,Sports and travel,3,3.71,77.93,Credit card,4.76,3.71,10.0,15-18 PM,February,week3
2019-02-24,Naypyitaw,Normal,Male,Home and lifestyle,6,16.72,351.1,Ewallet,4.76,16.72,7.0,9-12 AM,February,week4
2019-02-03,Mandalay,Member,Female,Sports and travel,9,24.78,520.41,Ewallet,4.76,24.78,10.0,12-15 PM,February,week1
2019-03-06,Yangon,Member,Male,Sports and travel,10,7.9,166.0,Credit card,4.76,7.9,8.6,9-12 AM,March,week1
2019-02-14,Mandalay,Member,Male,Health and beauty,4,15.15,318.11,Cash,4.76,15.15,7.6,12-15 PM,February,week2
2019-03-13,Yangon,Member,Male,Health and beauty,10,7.94,166.64,Cash,4.76,7.94,5.8,15-18 PM,March,week2
2019-02-10,Naypyitaw,Normal,Female,Health and beauty,2,3.35,70.29,Ewallet,4.76,3.35,6.7,15-18 PM,February,week2
2019-01-07,Mandalay,Member,Female,Fashion accessories,6,29.28,614.94,Ewallet,4.76,29.28,9.9,12-15 PM,January,week1
2019-01-24,Yangon,Normal,Male,Sports and travel,10,39.38,827.08,Cash,4.76,39.38,6.4,9-12 AM,January,week4
2019-02-02,Yangon,Member,Female,Health and beauty,1,0.92,19.25,Cash,4.76,0.92,4.3,18-21 PM,February,week1
2019-01-06,Naypyitaw,Normal,Male,Food and beverages,10,44.74,939.54,Credit card,4.76,44.74,9.6,12-15 PM,January,week1
2019-02-11,Naypyitaw,Normal,Male,Fashion accessories,10,31.06,652.26,Cash,4.76,31.06,5.9,15-18 PM,February,week2
2019-03-05,Mandalay,Member,Female,Food and beverages,3,7.28,152.84,Ewallet,4.76,7.28,4.0,15-18 PM,March,week1
2019-03-09,Naypyitaw,Normal,Female,Electronic accessories,6,22.77,478.23,Cash,4.76,22.77,8.7,15-18 PM,March,week2
2019-01-22,Yangon,Normal,Male,Home and lifestyle,9,33.6,705.63,Ewallet,4.76,33.6,9.4,9-12 AM,January,week4
2019-01-13,Naypyitaw,Normal,Female,Electronic accessories,10,20.82,437.32,Credit card,4.76,20.82,5.4,15-18 PM,January,week2
2019-01-09,Naypyitaw,Member,Male,Fashion accessories,9,22.07,463.43,Credit card,4.76,22.07,8.6,12-15 PM,January,week2
2019-01-12,Yangon,Member,Female,Fashion accessories,9,9.0,189.09,Credit card,4.76,9.0,5.7,15-18 PM,January,week2
2019-03-05,Naypyitaw,Member,Female,Food and beverages,10,39.16,822.26,Ewallet,4.76,39.16,6.6,15-18 PM,March,week1
2019-01-22,Naypyitaw,Normal,Female,Health and beauty,5,5.1,107.0,Cash,4.76,5.1,6.0,18-21 PM,January,week4
2019-01-21,Naypyitaw,Normal,Female,Health and beauty,6,29.76,624.9,Credit card,4.76,29.76,5.5,12-15 PM,January,week3
2019-01-26,Mandalay,Normal,Female,Food and beverages,3,14.5,304.54,Ewallet,4.76,14.5,6.4,18-21 PM,January,week4
2019-01-23,Naypyitaw,Normal,Male,Food and beverages,8,7.7,161.7,Ewallet,4.76,7.7,6.6,18-21 PM,January,week4
2019-02-23,Naypyitaw,Member,Female,Food and beverages,4,16.07,337.51,Credit card,4.76,16.07,8.3,18-21 PM,February,week4
2019-03-09,Naypyitaw,Member,Male,Sports and travel,5,12.23,256.78,Cash,4.76,12.23,6.6,9-12 AM,March,week2
2019-03-05,Naypyitaw,Normal,Female,Sports and travel,7,29.07,610.49,Ewallet,4.76,29.07,4.0,12-15 PM,March,week1
2019-03-25,Naypyitaw,Normal,Male,Fashion accessories,5,19.13,401.73,Cash,4.76,19.13,9.9,9-12 AM,March,week4
2019-03-27,Yangon,Member,Male,Food and beverages,7,17.28,362.94,Credit card,4.76,17.28,7.3,18-21 PM,March,week4
2019-01-02,Yangon,Normal,Male,Sports and travel,1,2.12,44.59,Cash,4.76,2.12,5.7,15-18 PM,January,week1
2019-02-27,Mandalay,Normal,Female,Health and beauty,6,23.1,485.04,Cash,4.76,23.1,6.1,15-18 PM,February,week4
2019-01-23,Naypyitaw,Member,Female,Home and lifestyle,4,9.48,199.0,Cash,4.76,9.48,7.1,9-12 AM,January,week4
2019-01-26,Naypyitaw,Normal,Female,Sports and travel,10,22.43,471.03,Ewallet,4.76,22.43,8.2,18-21 PM,January,week4
2019-01-10,Yangon,Member,Female,Sports and travel,7,7.69,161.55,Ewallet,4.76,7.69,5.1,15-18 PM,January,week2
2019-03-12,Mandalay,Member,Male,Health and beauty,9,28.96,608.2,Credit card,4.76,28.96,8.6,9-12 AM,March,week2
2019-02-06,Naypyitaw,Normal,Male,Health and beauty,1,4.49,94.24,Credit card,4.76,4.49,6.6,18-21 PM,February,week1
2019-03-08,Yangon,Normal,Male,Electronic accessories,1,4.86,102.02,Ewallet,4.76,4.86,7.2,18-21 PM,March,week2
2019-03-29,Mandalay,Normal,Male,Health and beauty,10,43.94,922.64,Ewallet,4.76,43.94,5.1,9-12 AM,March,29-31
2019-02-09,Naypyitaw,Normal,Female,Electronic accessories,6,3.74,78.44,Cash,4.76,3.74,4.1,12-15 PM,February,week2
2019-03-23,Yangon,Normal,Male,Food and beverages,3,7.91,166.16,Ewallet,4.76,7.91,9.3,9-12 AM,March,week4
2019-03-05,Mandalay,Normal,Male,Home and lifestyle,6,24.81,521.01,Cash,4.76,24.81,7.4,15-18 PM,March,week1
2019-03-26,Naypyitaw,Member,Male,Fashion accessories,1,2.44,51.15,Cash,4.76,2.44,4.1,18-21 PM,March,week4
2019-03-01,Naypyitaw,Normal,Male,Fashion accessories,9,35.35,742.3,Cash,4.76,35.35,7.2,12-15 PM,March,week1
2019-02-01,Naypyitaw,Normal,Female,Electronic accessories,9,10.38,218.01,Cash,4.76,10.38,4.9,9-12 AM,February,week1
2019-03-28,Yangon,Normal,Male,Food and beverages,6,17.48,367.04,Cash,4.76,17.48,9.9,15-18 PM,March,week4
2019-03-19,Mandalay,Normal,Male,Health and beauty,7,10.62,223.07,Cash,4.76,10.62,8.0,15-18 PM,March,week3
2019-01-12,Yangon,Member,Male,Electronic accessories,10,44.34,931.04,Ewallet,4.76,44.34,7.3,12-15 PM,January,week2
2019-01-05,Naypyitaw,Normal,Male,Fashion accessories,6,8.21,172.49,Credit card,4.76,8.21,7.9,18-21 PM,January,week1
2019-03-22,Yangon,Normal,Male,Sports and travel,6,18.64,391.42,Cash,4.76,18.64,7.4,18-21 PM,March,week4
2019-03-24,Naypyitaw,Normal,Female,Food and beverages,9,15.29,321.11,Cash,4.76,15.29,4.2,9-12 AM,March,week4
2019-03-03,Naypyitaw,Member,Male,Electronic accessories,10,40.98,860.68,Cash,4.76,40.98,9.2,12-15 PM,March,week1
2019-02-05,Mandalay,Member,Female,Sports and travel,2,1.65,34.63,Ewallet,4.76,1.65,4.6,9-12 AM,February,week1
2019-02-05,Naypyitaw,Member,Female,Health and beauty,3,14.73,309.36,Credit card,4.76,14.73,7.8,9-12 AM,February,week1
2019-02-15,Mandalay,Normal,Female,Fashion accessories,7,25.49,535.37,Cash,4.76,25.49,8.4,12-15 PM,February,week3
2019-01-19,Yangon,Member,Male,Home and lifestyle,9,26.13,548.76,Ewallet,4.76,26.13,4.3,18-21 PM,January,week3
2019-02-01,Naypyitaw,Member,Female,Home and lifestyle,9,36.36,763.47,Credit card,4.76,36.36,9.5,18-21 PM,February,week1
2019-03-02,Naypyitaw,Normal,Female,Fashion accessories,3,4.05,85.11,Credit card,4.76,4.05,7.1,12-15 PM,March,week1
2019-03-05,Mandalay,Member,Male,Fashion accessories,5,5.48,115.18,Ewallet,4.76,5.48,5.3,9-12 AM,March,week1
2019-01-16,Mandalay,Member,Male,Fashion accessories,1,2.57,53.93,Ewallet,4.76,2.57,5.2,12-15 PM,January,week3
2019-02-02,Yangon,Normal,Female,Food and beverages,10,5.48,115.08,Ewallet,4.76,5.48,6.0,18-21 PM,February,week1
2019-01-20,Mandalay,Normal,Male,Home and lifestyle,2,5.34,112.22,Ewallet,4.76,5.34,4.1,18-21 PM,January,week3
2019-02-14,Yangon,Normal,Female,Electronic accessories,8,39.82,836.3,Credit card,4.76,39.82,5.2,15-18 PM,February,week2
2019-01-12,Naypyitaw,Member,Male,Sports and travel,7,19.99,419.83,Credit card,4.76,19.99,6.5,9-12 AM,January,week2
2019-03-09,Mandalay,Member,Male,Sports and travel,9,44.98,944.62,Credit card,4.76,44.98,4.2,15-18 PM,March,week2
2019-03-13,Naypyitaw,Member,Male,Home and lifestyle,8,25.56,536.84,Credit card,4.76,25.56,4.6,18-21 PM,March,week2
2019-03-09,Mandalay,Member,Female,Fashion accessories,8,22.59,474.35,Ewallet,4.76,22.59,7.3,12-15 PM,March,week2
2019-03-10,Yangon,Normal,Female,Home and lifestyle,7,32.79,688.62,Credit card,4.76,32.79,4.5,18-21 PM,March,week2
2019-01-27,Yangon,Normal,Female,Sports and travel,5,8.06,169.31,Cash,4.76,8.06,9.0,12-15 PM,January,week4
2019-01-08,Naypyitaw,Normal,Female,Fashion accessories,9,14.28,299.85,Credit card,4.76,14.28,5.9,15-18 PM,January,week2
2019-01-08,Naypyitaw,Member,Female,Food and beverages,8,27.42,575.74,Ewallet,4.76,27.42,8.5,15-18 PM,January,week2
2019-02-08,Mandalay,Normal,Female,Sports and travel,9,40.63,853.15,Ewallet,4.76,40.63,7.2,9-12 AM,February,week2
2019-01-25,Mandalay,Normal,Female,Fashion accessories,7,13.87,291.21,Cash,4.76,13.87,7.5,12-15 PM,January,week4
2019-03-06,Yangon,Member,Female,Sports and travel,6,27.64,580.42,Cash,4.76,27.64,8.3,18-21 PM,March,week1
2019-02-10,Mandalay,Normal,Female,Sports and travel,4,6.97,146.33,Cash,4.76,6.97,7.4,18-21 PM,February,week2
2019-02-17,Mandalay,Member,Male,Electronic accessories,6,26.24,550.93,Credit card,4.76,26.24,8.8,12-15 PM,February,week3
2019-03-08,Naypyitaw,Normal,Female,Health and beauty,6,24.39,512.19,Ewallet,4.76,24.39,5.3,15-18 PM,March,week2
2019-02-18,Naypyitaw,Normal,Male,Fashion accessories,3,13.53,284.19,Cash,4.76,13.53,6.2,18-21 PM,February,week3
2019-01-18,Yangon,Normal,Female,Electronic accessories,5,6.58,138.13,Credit card,4.76,6.58,8.8,18-21 PM,January,week3
2019-02-18,Yangon,Member,Female,Home and lifestyle,6,10.33,216.85,Cash,4.76,10.33,9.8,15-18 PM,February,week3
2019-02-16,Mandalay,Normal,Male,Sports and travel,10,25.96,545.05,Cash,4.76,25.96,8.2,9-12 AM,February,week3
2019-03-16,Yangon,Normal,Male,Sports and travel,8,29.0,609.0,Ewallet,4.76,29.0,9.2,18-21 PM,March,week3
2019-01-23,Naypyitaw,Member,Female,Sports and travel,10,44.9,942.9,Credit card,4.76,44.9,5.4,12-15 PM,January,week4
2019-01-25,Naypyitaw,Member,Male,Health and beauty,10,45.25,950.25,Cash,4.76,45.25,8.1,12-15 PM,January,week4
2019-02-05,Naypyitaw,Member,Female,Health and beauty,10,34.3,720.3,Cash,4.76,34.3,9.1,18-21 PM,February,week1
2019-02-22,Naypyitaw,Member,Female,Food and beverages,1,1.52,31.93,Credit card,4.76,1.52,8.4,9-12 AM,February,week4
2019-01-21,Yangon,Normal,Female,Home and lifestyle,6,23.38,491.08,Ewallet,4.76,23.38,8.0,15-18 PM,January,week3
2019-03-08,Naypyitaw,Normal,Female,Health and beauty,6,13.88,291.44,Credit card,4.76,13.88,9.5,15-18 PM,March,week2
2019-02-10,Yangon,Member,Female,Fashion accessories,10,15.07,316.47,Ewallet,4.76,15.07,9.2,9-12 AM,February,week2
2019-03-19,Naypyitaw,Normal,Male,Health and beauty,4,13.23,277.79,Credit card,4.76,13.23,5.6,12-15 PM,March,week3
2019-03-06,Mandalay,Member,Male,Home and lifestyle,8,28.74,603.62,Credit card,4.76,28.74,6.2,12-15 PM,March,week1
2019-03-27,Yangon,Normal,Male,Health and beauty,8,12.98,272.66,Credit card,4.76,12.98,4.9,12-15 PM,March,week4
2019-03-23,Mandalay,Member,Female,Fashion accessories,4,18.31,384.47,Credit card,4.76,18.31,4.8,18-21 PM,March,week4
2019-03-11,Naypyitaw,Member,Male,Sports and travel,7,12.1,254.02,Credit card,4.76,12.1,7.3,15-18 PM,March,week2
2019-01-29,Yangon,Normal,Male,Fashion accessories,9,37.46,786.62,Credit card,4.76,37.46,7.4,9-12 AM,January,29-31
2019-02-07,Naypyitaw,Normal,Female,Food and beverages,6,4.94,103.82,Ewallet,4.76,4.94,9.9,15-18 PM,February,week1
2019-01-28,Naypyitaw,Normal,Female,Sports and travel,8,32.39,680.15,Cash,4.76,32.39,9.3,12-15 PM,January,week4
2019-02-20,Yangon,Member,Male,Food and beverages,5,23.07,484.52,Credit card,4.76,23.07,9.0,15-18 PM,February,week3
2019-01-04,Mandalay,Member,Male,Electronic accessories,1,3.61,75.78,Cash,4.76,3.61,6.1,18-21 PM,January,week1
2019-03-07,Mandalay,Normal,Male,Home and lifestyle,5,12.57,263.97,Ewallet,4.76,12.57,9.7,12-15 PM,March,week1
2019-03-30,Mandalay,Member,Male,Health and beauty,9,43.75,918.73,Ewallet,4.76,43.75,6.0,12-15 PM,March,29-31
2019-03-27,Mandalay,Normal,Male,Sports and travel,6,28.02,588.36,Ewallet,4.76,28.02,10.0,18-21 PM,March,week4
2019-01-19,Naypyitaw,Normal,Female,Food and beverages,8,17.27,362.71,Credit card,4.76,17.27,8.3,18-21 PM,January,week3
2019-02-25,Yangon,Normal,Male,Sports and travel,1,3.18,66.87,Cash,4.76,3.18,6.0,15-18 PM,February,week4
2019-03-13,Yangon,Normal,Male,Food and beverages,7,16.03,336.56,Credit card,4.76,16.03,7.0,18-21 PM,March,week2
2019-01-30,Naypyitaw,Normal,Male,Sports and travel,2,7.64,160.44,Ewallet,4.76,7.64,6.5,18-21 PM,January,29-31
2019-02-20,Mandalay,Normal,Male,Food and beverages,10,19.95,418.95,Credit card,4.76,19.95,5.9,12-15 PM,February,week3
2019-02-25,Mandalay,Member,Male,Health and beauty,8,17.03,357.59,Ewallet,4.76,17.03,5.6,12-15 PM,February,week4
2019-01-16,Naypyitaw,Normal,Male,Home and lifestyle,10,47.79,1003.59,Cash,4.76,47.79,4.8,12-15 PM,January,week3
2019-02-08,Yangon,Normal,Male,Fashion accessories,10,49.49,1039.29,Credit card,4.76,49.49,8.7,15-18 PM,February,week2
2019-01-19,Yangon,Normal,Male,Food and beverages,6,15.38,323.06,Cash,4.76,15.38,6.5,15-18 PM,January,week3
2019-02-01,Yangon,Member,Male,Sports and travel,7,24.33,510.97,Credit card,4.76,24.33,8.5,12-15 PM,February,week1
2019-01-03,Yangon,Normal,Male,Health and beauty,5,17.5,367.55,Ewallet,4.76,17.5,5.5,9-12 AM,January,week1
2019-01-26,Mandalay,Member,Male,Food and beverages,5,20.01,420.26,Credit card,4.76,20.01,9.4,12-15 PM,January,week4
2019-03-03,Naypyitaw,Normal,Male,Electronic accessories,8,8.34,175.14,Cash,4.76,8.34,6.3,18-21 PM,March,week1
2019-01-19,Mandalay,Member,Male,Electronic accessories,6,15.87,333.21,Credit card,4.76,15.87,9.8,15-18 PM,January,week3
2019-01-18,Mandalay,Normal,Male,Food and beverages,8,7.92,166.24,Ewallet,4.76,7.92,8.7,9-12 AM,January,week3
2019-03-21,Yangon,Member,Male,Home and lifestyle,9,15.23,319.79,Ewallet,4.76,15.23,8.8,15-18 PM,March,week3
2019-03-03,Yangon,Member,Male,Food and beverages,8,8.87,186.23,Credit card,4.76,8.87,9.6,15-18 PM,March,week1
2019-02-13,Naypyitaw,Normal,Female,Fashion accessories,7,7.88,165.45,Credit card,4.76,7.88,4.8,9-12 AM,February,week2
2019-03-23,Yangon,Normal,Male,Food and beverages,6,22.16,465.44,Ewallet,4.76,22.16,4.4,18-21 PM,March,week4
2019-01-28,Naypyitaw,Member,Male,Health and beauty,3,13.02,273.42,Ewallet,4.76,13.02,9.9,15-18 PM,January,week4
2019-02-09,Naypyitaw,Normal,Male,Fashion accessories,7,22.49,472.31,Cash,4.76,22.49,5.7,9-12 AM,February,week2
2019-01-23,Naypyitaw,Member,Male,Food and beverages,8,15.39,323.15,Cash,4.76,15.39,7.7,9-12 AM,January,week4
2019-03-23,Yangon,Member,Male,Sports and travel,10,7.75,162.75,Ewallet,4.76,7.75,8.0,9-12 AM,March,week4
2019-01-25,Naypyitaw,Normal,Male,Health and beauty,8,13.72,288.2,Ewallet,4.76,13.72,5.7,12-15 PM,January,week4
2019-03-04,Yangon,Normal,Female,Sports and travel,7,4.32,90.7,Credit card,4.76,4.32,6.7,9-12 AM,March,week1
2019-03-05,Mandalay,Member,Male,Food and beverages,3,2.71,56.95,Ewallet,4.76,2.71,8.0,18-21 PM,March,week1
2019-03-03,Mandalay,Member,Female,Home and lifestyle,8,37.8,793.72,Ewallet,4.76,37.8,7.5,18-21 PM,March,week1
2019-02-08,Mandalay,Member,Male,Home and lifestyle,4,9.29,195.17,Cash,4.76,9.29,7.0,9-12 AM,February,week2
2019-02-10,Yangon,Normal,Male,Home and lifestyle,1,3.7,77.77,Ewallet,4.76,3.7,9.9,12-15 PM,February,week2
2019-01-28,Naypyitaw,Normal,Female,Home and lifestyle,4,13.96,293.2,Credit card,4.76,13.96,5.9,18-21 PM,January,week4
2019-02-11,Mandalay,Normal,Female,Home and lifestyle,3,11.56,242.68,Credit card,4.76,11.56,7.2,9-12 AM,February,week2
2019-01-15,Mandalay,Normal,Female,Fashion accessories,2,7.35,154.39,Ewallet,4.76,7.35,4.6,12-15 PM,January,week3
2019-03-16,Naypyitaw,Normal,Female,Food and beverages,9,39.51,829.71,Cash,4.76,39.51,9.2,18-21 PM,March,week3
2019-01-26,Mandalay,Normal,Male,Home and lifestyle,4,5.11,107.31,Ewallet,4.76,5.11,5.7,18-21 PM,January,week4
2019-03-19,Yangon,Normal,Male,Electronic accessories,5,8.18,171.73,Credit card,4.76,8.18,9.9,9-12 AM,March,week3
2019-01-13,Naypyitaw,Member,Female,Fashion accessories,1,3.71,78.0,Cash,4.76,3.71,5.0,18-21 PM,January,week2
2019-03-26,Naypyitaw,Member,Male,Health and beauty,2,4.37,91.77,Cash,4.76,4.37,4.9,15-18 PM,March,week4
2019-03-23,Yangon,Normal,Female,Home and lifestyle,1,1.26,26.55,Ewallet,4.76,1.26,6.1,9-12 AM,March,week4
2019-03-12,Naypyitaw,Normal,Male,Health and beauty,4,8.3,174.3,Credit card,4.76,8.3,8.2,18-21 PM,March,week2
2019-02-17,Naypyitaw,Member,Female,Food and beverages,5,17.85,374.8,Credit card,4.76,17.85,5.5,18-21 PM,February,week3
2019-01-29,Naypyitaw,Member,Female,Sports and travel,6,5.74,120.64,Credit card,4.76,5.74,6.8,9-12 AM,January,29-31
2019-03-15,Mandalay,Member,Female,Electronic accessories,4,11.5,241.46,Cash,4.76,11.5,6.6,9-12 AM,March,week3
2019-01-14,Naypyitaw,Normal,Male,Electronic accessories,7,21.49,451.36,Cash,4.76,21.49,9.8,9-12 AM,January,week2
2019-02-06,Mandalay,Member,Male,Health and beauty,10,12.95,271.95,Ewallet,4.76,12.95,8.7,12-15 PM,February,week1
2019-02-15,Mandalay,Member,Male,Home and lifestyle,5,4.44,93.29,Credit card,4.76,4.44,5.4,12-15 PM,February,week3
2019-01-03,Yangon,Normal,Female,Health and beauty,9,10.36,217.63,Ewallet,4.76,10.36,7.9,9-12 AM,January,week1
2019-01-04,Naypyitaw,Member,Female,Electronic accessories,9,29.99,629.84,Credit card,4.76,29.99,9.7,15-18 PM,January,week1
2019-03-18,Naypyitaw,Member,Female,Home and lifestyle,10,14.26,299.56,Ewallet,4.76,14.26,7.8,15-18 PM,March,week3
